
--- Simulation Session Started at 2026-09-23 20:01:37.891328 ---
=== RIGOROUS COLLATZ ENGINE INITIALIZED ===

=== RIGOROUS EXPONENTIAL SCALE COLLATZ ENGINE ===
Running with strict modular math and exponent scale tracking...
Press Ctrl+C to stop anytime.
Elapsed: 1s | Steps: 276000000 | Audits: 0 | Exp Scale 2^: ~40.3644 bits
Elapsed: 1s | Steps: 282000000 | Audits: 0 | Exp Scale 2^: ~41.6044 bits
Elapsed: 1s | Steps: 283000000 | Audits: 0 | Exp Scale 2^: ~21.9298 bits
Elapsed: 1s | Steps: 291000000 | Audits: 0 | Exp Scale 2^: ~22.1595 bits
Elapsed: 1s | Steps: 292000000 | Audits: 0 | Exp Scale 2^: ~20.8246 bits
Elapsed: 1s | Steps: 293000000 | Audits: 0 | Exp Scale 2^: ~22.7769 bits
Elapsed: 1s | Steps: 294000000 | Audits: 0 | Exp Scale 2^: ~13.0826 bits
Elapsed: 1s | Steps: 302000000 | Audits: 0 | Exp Scale 2^: ~21.2521 bits
Elapsed: 1s | Steps: 303000000 | Audits: 0 | Exp Scale 2^: ~34.0088 bits
Elapsed: 1s | Steps: 305000000 | Audits: 0 | Exp Scale 2^: ~26.5867 bits
Elapsed: 1s | Steps: 306000000 | Audits: 0 | Exp Scale 2^: ~35.2516 bits
Elapsed: 1s | Steps: 313000000 | Audits: 0 | Exp Scale 2^: ~10.4168 bits
Elapsed: 1s | Steps: 315000000 | Audits: 0 | Exp Scale 2^: ~35.7641 bits
Elapsed: 1s | Steps: 319000000 | Audits: 0 | Exp Scale 2^: ~26.6514 bits
Elapsed: 1s | Steps: 327000000 | Audits: 0 | Exp Scale 2^: ~40.4782 bits
Elapsed: 1s | Steps: 330000000 | Audits: 0 | Exp Scale 2^: ~6.14975 bits
Elapsed: 1s | Steps: 333000000 | Audits: 0 | Exp Scale 2^: ~40.6352 bits
Elapsed: 1s | Steps: 336000000 | Audits: 0 | Exp Scale 2^: ~33.1775 bits
Elapsed: 2s | Steps: 342000000 | Audits: 0 | Exp Scale 2^: ~9.68124 bits
Elapsed: 2s | Steps: 346000000 | Audits: 0 | Exp Scale 2^: ~23.298 bits
Elapsed: 2s | Steps: 348000000 | Audits: 0 | Exp Scale 2^: ~28.8552 bits
Elapsed: 2s | Steps: 368000000 | Audits: 0 | Exp Scale 2^: ~13.4935 bits
Elapsed: 2s | Steps: 369000000 | Audits: 0 | Exp Scale 2^: ~17.5294 bits
Elapsed: 2s | Steps: 382000000 | Audits: 0 | Exp Scale 2^: ~39.4934 bits
Elapsed: 2s | Steps: 384000000 | Audits: 0 | Exp Scale 2^: ~20.2649 bits
Elapsed: 2s | Steps: 387000000 | Audits: 0 | Exp Scale 2^: ~40.5317 bits
Elapsed: 2s | Steps: 391000000 | Audits: 0 | Exp Scale 2^: ~7.70736 bits
Elapsed: 2s | Steps: 392000000 | Audits: 0 | Exp Scale 2^: ~15.9488 bits
Elapsed: 2s | Steps: 396000000 | Audits: 0 | Exp Scale 2^: ~7.09803 bits
Elapsed: 2s | Steps: 397000000 | Audits: 0 | Exp Scale 2^: ~8.55842 bits
Elapsed: 2s | Steps: 398000000 | Audits: 0 | Exp Scale 2^: ~26.2188 bits
Elapsed: 2s | Steps: 400000000 | Audits: 0 | Exp Scale 2^: ~42.8275 bits
Elapsed: 2s | Steps: 405000000 | Audits: 0 | Exp Scale 2^: ~29.5056 bits
Elapsed: 2s | Steps: 406000000 | Audits: 0 | Exp Scale 2^: ~30.3392 bits
Elapsed: 2s | Steps: 408000000 | Audits: 0 | Exp Scale 2^: ~17.7058 bits
Elapsed: 2s | Steps: 412000000 | Audits: 0 | Exp Scale 2^: ~12.7459 bits
